Name,Pass,Ikon,Epic,otherMultiResortPass,Famous,state,summit,drop,base,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total,Runs,Terrain Parks,Longest Run,Skiable Terrain,Snow Making,daysOpenLastYear,projectedDaysOpen,"Avg(daysOpenLastYear, projectedDaysOpen)",NightSkiing,Night Skiing,mi Pistes,MI Night Skiing,mi Snow Making,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,Url,adultWeekdayPriceNote,adultWeekendPriceNote,fastEightNote,snowfallNote,yearOpenNote,daysOpenNote
Alyeska Resort,0,0,0,0,1,Alaska,3939,2500,250,1,0,0,2,2,0,0,2,7,76,2,1,1610,113,150,150,150,1,550,,,,60,669,65,85,http://www.onthesnow.com/alaska/alyeska-resort/ski-resort.html,,,,,,
Eaglecrest Ski Area,1,0,0,1,0,Alaska,2600,1540,1200,0,0,0,0,0,0,4,0,4,36,1,2,640,60,45,90,67.5,1,,,,,44,350,47,53,http://www.onthesnow.com/alaska/eaglecrest-ski-area/ski-resort.html,,,,,,
Hilltop Ski Area,0,0,0,0,0,Alaska,2090,294,1796,0,0,0,0,0,1,0,2,3,13,1,1,30,30,150,152,151,1,30,,,,36,69,30,34,http://www.onthesnow.com/alaska/hilltop-ski-area/ski-resort.html,,,,,,
Arizona Snowbowl,1,0,0,1,0,Arizona,11500,2300,9200,0,0,1,0,2,2,1,2,8,55,4,2,777,104,122,122,122,0,,,,,81,260,89,89,http://www.onthesnow.com/arizona/arizona-snowbowl/ski-resort.html,,,,,,
Sunrise Park Resort,0,0,0,0,0,Arizona,11100,1800,9200,0,0,0,1,2,3,1,0,7,65,2,1.2,800,80,115,104,109.5,1,80,,,,49,250,74,78,http://www.onthesnow.com/arizona/sunrise-park-resort/ski-resort.html,,,Check fast eight lift info.,,,
Yosemite Ski & Snowboard Area,0,0,0,0,0,California,7800,600,7200,0,0,0,0,0,1,3,1,5,10,2,0.4,88,0,110,107,108.5,0,,,,,84,300,47,47,http://www.onthesnow.com/california/badger-pass/ski-resort.html,,,,,,
Bear Mountain,1,1,0,0,0,California,8805,1665,7140,0,0,0,2,1,2,3,4,12,27,14,1.5,198,198,122,130,126,1,,,,,76,100,89,99,http://www.onthesnow.com/california/bear-mountain/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Bear Valley,0,0,0,0,0,California,8500,1900,6600,0,0,1,1,0,2,4,2,10,67,2,1.2,1680,100,165,151,158,0,,,,,52,359,99,99,http://www.onthesnow.com/california/bear-valley/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Boreal Mountain Resort,0,0,0,0,0,California,7700,500,7200,0,0,0,1,1,3,1,2,8,33,6,1,380,200,150,150,150,1,200,,,,54,400,74,79,http://www.onthesnow.com/california/boreal/ski-resort.html,,Check adult weekday price info.,,,,
Dodge Ridge,0,0,0,0,0,California,8200,1600,6600,0,0,0,0,1,2,5,4,12,67,5,2,862,0,,140,140,0,,,,,69,350,78,78,http://www.onthesnow.com/california/dodge-ridge/ski-resort.html,,,,,,Check days info
Donner Ski Ranch,0,0,0,0,0,California,8012,750,7031,0,0,0,0,0,1,5,2,8,52,2,1.5,505,60,163,170,166.5,0,,,,,82,400,75,75,http://www.onthesnow.com/california/donner-ski-ranch/ski-resort.html,,,,,,
Heavenly Mountain Resort,1,0,1,0,1,California,10067,3500,7170,2,0,2,7,1,5,3,8,28,97,3,5.5,4800,3379,155,157,156,0,,,,,64,360,154,154,http://www.onthesnow.com/california/heavenly-mountain-resort/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
June Mountain,1,1,0,0,0,California,10090,2590,7545,0,0,0,2,0,0,4,1,7,41,2,2,1500,0,,128,128,0,,,,,58,250,139,139,http://www.onthesnow.com/california/june-mountain/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,Check fast eight lift info.,,,Check days info
Kirkwood,1,0,1,0,1,California,9800,2000,7800,0,0,0,2,1,5,1,3,12,85,2,2.5,2300,200,200,167,183.5,0,,,,,47,354,117,117,http://www.onthesnow.com/california/kirkwood/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Mammoth Mountain Ski Area,1,1,0,1,1,California,11053,3100,7953,3,0,2,9,1,6,4,0,25,154,7,3,3500,700,243,,243,0,,,,,66,400,149,159,http://www.onthesnow.com/california/mammoth-mountain-ski-area/ski-resort.html,,,,,,Check days info
Mt. Shasta Ski Park,0,0,0,0,0,California,6890,1435,5500,0,0,0,0,0,3,0,1,4,32,2,1.1,425,225,140,130,135,0,,,,,34,300,49,59,http://www.onthesnow.com/california/mount-shasta-board-ski-park/ski-resort.html,,,Check fast eight lift info.,,,
Mountain High,1,0,0,1,0,California,8200,1600,6600,0,0,0,2,2,2,5,3,14,59,1,1.6,290,275,118,150,134,1,73,,,,95,108,84,84,http://www.onthesnow.com/california/mountain-high/ski-resort.html,,,Check fast eight lift info.,,,
Mt. Baldy,0,0,0,0,0,California,8600,2100,6500,0,0,0,0,0,0,4,0,4,26,0,2.5,400,80,175,200,187.5,0,,,,,67,178,69,69,http://www.onthesnow.com/california/mt-baldy/ski-resort.html,,,Check fast eight lift info.,,,
Northstar California,1,0,1,0,1,California,8610,2280,6330,2,0,1,7,1,2,0,7,20,100,9,1.4,3170,1500,135,150,142.5,0,,,,,47,350,160,160,http://www.onthesnow.com/california/northstar-california/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Sierra-at-Tahoe,1,0,0,1,0,California,8852,2212,6640,0,0,0,3,0,1,5,5,14,46,6,2.5,2000,200,160,144,152,0,,,,,73,460,105,110,http://www.onthesnow.com/california/sierra-at-tahoe/ski-resort.html,,Check adult weekday price info.,Check fast eight lift info.,,,
Ski China Peak,1,0,0,1,0,California,8709,1679,7030,0,0,0,0,1,4,2,4,11,45,1,2.2,1400,150,140,144,142,0,,,,12.4,62,300,83,83,http://www.onthesnow.com/california/ski-china-peak/ski-resort.html,,,,,,
Snow Summit,0,0,0,0,0,California,8200,1200,7000,0,0,0,2,0,4,5,5,16,27,6,1.2,240,240,,130,130,1,150,,,,67,100,99,99,http://www.onthesnow.com/california/snow-summit/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,Check days info
Snow Valley,0,0,0,0,0,California,7841,1041,6800,0,0,0,0,0,5,6,1,12,28,6,1.2,240,188,111,143,127,1,164,,,,82,160,69,79,http://www.onthesnow.com/california/snow-valley/ski-resort.html,,,Check fast eight lift info.,,,
Soda Springs,0,0,0,0,0,California,7352,652,6700,0,0,0,0,0,1,1,2,4,18,0,0.4,200,20,150,144,147,0,,,,,83,400,50,50,http://www.onthesnow.com/california/soda-springs/ski-resort.html,,,Check fast eight lift info.,,,
Squaw Valley - Alpine Meadows,1,1,0,1,1,California,9050,2850,6200,2,0,5,5,1,12,10,7,42,230,5,3.2,6000,1000,193,,193,0,,,,,70,450,169,169,https://www.onthesnow.com/california/squaw-valley-usa/ski-resort.html,,,,,,
Sugar Bowl Resort,1,0,0,1,0,California,8383,1500,6883,1,0,0,5,3,1,0,2,12,105,3,3,1650,375,151,150,150.5,0,,,,,80,500,125,125,http://www.onthesnow.com/california/sugar-bowl-resort/ski-resort.html,,,,,,
Tahoe Donner,0,0,0,0,0,California,7350,600,6750,0,0,0,0,1,1,0,3,5,14,2,1,120,0,150,144,147,0,,,,,48,400,69,69,http://www.onthesnow.com/california/tahoe-donner/ski-resort.html,,,,,,
Arapahoe Basin Ski Area,0,0,0,0,1,Colorado,13050,2530,10780,0,0,0,1,2,1,2,3,9,145,3,1.5,1428,125,230,233,231.5,0,,,,,73,350,85,85,http://www.onthesnow.com/colorado/arapahoe-basin-ski-area/ski-resort.html,,,,,,
Aspen / Snowmass,1,1,0,1,1,Colorado,12510,4406,8104,3,0,1,15,4,3,5,9,40,336,10,5.3,5517,658,138,138,138,0,,,,,72,300,179,179,http://www.onthesnow.com/colorado/aspen-snowmass/ski-resort.html,,,,,,
Beaver Creek,1,0,1,0,1,Colorado,11440,3340,8100,2,0,0,11,0,1,1,9,24,150,3,2.8,1832,650,145,138,141.5,0,,,,,39,323,199,199,http://www.onthesnow.com/colorado/beaver-creek/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Breckenridge,1,0,1,0,1,Colorado,12998,3398,9600,1,0,5,6,0,1,6,15,34,187,4,3.5,2908,600,182,163,172.5,0,,,,,58,300,179,179,http://www.onthesnow.com/colorado/breckenridge/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Copper Mountain Resort,1,1,0,1,0,Colorado,12313,2738,9712,1,0,2,4,0,4,4,9,24,150,6,1.7,2527,364,164,164,164,0,,,,,47,300,158,158,http://www.onthesnow.com/colorado/copper-mountain-resort/ski-resort.html,,,,,,
Crested Butte Mountain Resort,1,0,1,0,1,Colorado,12162,3062,9375,0,0,0,4,2,2,1,5,14,121,4,2.6,1547,297,145,131,138,0,,,,,58,234,99,99,http://www.onthesnow.com/colorado/crested-butte-mountain-resort/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Purgatory,1,0,0,1,0,Colorado,10822,2029,8793,0,0,1,2,0,3,3,3,12,101,9,1.3,1605,250,130,130,130,0,,,,,54,260,89,89,http://www.onthesnow.com/colorado/durango-mountain-resort/ski-resort.html,,,,,,
Eldora Mountain Resort,1,1,0,0,0,Colorado,10600,1400,9200,0,0,1,0,2,1,3,3,10,65,8,3,680,680,147,150,148.5,0,,,,,57,311,99,99,http://www.onthesnow.com/colorado/eldora-mountain-resort/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Howelsen Hill,0,0,0,0,0,Colorado,7136,440,6696,0,0,0,0,0,0,1,3,4,17,1,6,50,25,100,100,100,1,10,,,,104,150,25,25,http://www.onthesnow.com/colorado/howelsen-hill/ski-resort.html,,,Check fast eight lift info.,,,
Keystone,1,0,1,0,1,Colorado,12408,3128,9280,2,0,2,4,1,1,2,8,20,128,1,3.5,3148,662,184,,184,1,288,,,,49,235,169,169,http://www.onthesnow.com/colorado/keystone/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,Check days info
Loveland,1,0,0,1,0,Colorado,13010,2210,10800,0,0,0,1,3,3,2,1,10,94,1,2,1800,240,205,184,194.5,0,,,,,82,422,79,79,http://www.onthesnow.com/colorado/loveland/ski-resort.html,,,,,,
